,date,country,population,recovered
1,by 3/29/2022,Bosnia and Herzegovina,4590000,192218
2,by 3/29/2022,Bulgaria,7148785,429030
3,by 3/29/2022,Brazil,201103330,20326408
4,by 3/29/2022,France,64768389,6709622
5,by 3/29/2022,Georgia,4630000,573542
6,by 3/29/2022,India,1173108018,32876319
7,by 3/29/2022,Hungary,9982000,781794
8,by 3/29/2022,Mexico,112468855,2971000
9,by 3/29/2022,Russia,140702000,6574608
10,by 3/29/2022,Peru,29907003,0
11,by 3/29/2022,USA,310232863,33112993
12,by 3/29/2022,UK,62348447,6131137
